,Most Played,Players Now,Peak Today
0,Counter-Strike: Global Offensive,"675,906","895,336"
1,Lost Ark,"609,043","1,102,515"
2,Dota 2,"476,733","663,239"
3,PUBG: BATTLEGROUNDS,"357,698","505,977"
4,Apex Legends,"265,159","377,302"
5,Grand Theft Auto V,"109,795","132,429"
6,Yu-Gi-Oh! Master Duel,"107,439","161,810"
7,Total War: WARHAMMER III,"99,713","148,738"
8,NARAKA: BLADEPOINT,"93,002","118,495"
9,Rust,"79,203","123,284"
10,Team Fortress 2,"70,384","79,728"
11,Wallpaper Engine,"69,961","82,391"
12,MIR4,"58,088","60,574"
13,Dying Light 2,"55,864","71,270"
14,Vampire Survivors,"52,334","61,067"
